company_name,group_name,size,corp_type,db_source,source_description
HD현대일렉트릭,HD현대,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
HD현대중공업,HD현대,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
HL,HL,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
HL만도,HL,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
HL클레무브,HL,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
HL홀딩스,HL,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
HMM,에이치엠엠,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
HS애드,엘지,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
KAI,한국항공우주산업,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
KCC,케이씨씨,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
KCC건설,케이씨씨,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
KCC글라스,케이씨씨,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
KG,KG,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
KG모빌리티,KG,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
KG스틸,KG,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
KG이니시스,KG,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
KG케미칼,KG,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
KT,케이티,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
KT&G,케이티앤지,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
KT스튜디오지니,케이티,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
KT에스테이트,케이티,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
KT엠모바일,케이티,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
KT클라우드,케이티,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
LG CNS,엘지,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
LG디스플레이,엘지,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
LG생활건강,엘지,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
LG에너지솔루션,엘지,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
LG유플러스,엘지,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
LG이노텍,엘지,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
LG전자,엘지,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
LG하우시스,엘지,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
LG헬로비전,엘지,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
LG화학,엘지,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
LIG,LIG,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
LIG넥스원,LIG,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
LS,엘에스,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
LS엠트론,엘에스,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
LS일렉트릭,엘에스,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
LS전선,엘에스,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
LX세미콘,엘엑스,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
LX인터내셔널,엘엑스,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
LX판토스,엘엑스,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
LX하우시스,엘엑스,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
LX홀딩스,엘엑스,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
NAVER,네이버,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
NC백화점,이랜드,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
NH농협생명,농협,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
NH농협손해보험,농협,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
NH농협은행,농협,대기업,공기업·공공기관,KAP_DB,공정거래위원회 2025 공시대상기업집단
NH농협캐피탈,농협,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
NH투자증권,농협,대기업,공기업·공공기관,KAP_DB,공정거래위원회 2025 공시대상기업집단
NS홈쇼핑,하림,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
OCI,오씨아이,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
OCI홀딩스,오씨아이,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
S-OIL,에쓰-오일,대기업,외국계 기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
SBS,태영,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
SBS미디어홀딩스,태영,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
SK,에스케이,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
SKC,에스케이,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
SK가스,에스케이,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
SK네트웍스,에스케이,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
SK렌터카,에스케이,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
SK머티리얼즈,에스케이,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
SK바이오사이언스,에스케이,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
SK바이오팜,에스케이,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
SK브로드밴드,에스케이,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
SK스퀘어,에스케이,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
SK실트론,에스케이,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
SK에너지,에스케이,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
SK에코플랜트,에스케이,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
SK엔무브,에스케이,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
SK온,에스케이,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
SK이노베이션,에스케이,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
SK지오센트릭,에스케이,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
SK케미칼,에스케이,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
SK텔레콤,에스케이,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
SK하이닉스,에스케이,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
SM,SM,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
경남은행,BS,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
고려아연,영풍,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
광영토건,부영,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
교보문고,교보생명보험,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
교보생명,교보생명보험,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
교보생명보험,교보생명보험,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
교보증권,교보생명보험,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
글로벌세아,글로벌세아,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
금호석유화학,금호석유화학,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
금호타이어,LIG,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
금호폴리켐,금호석유화학,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
기아,현대자동차,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
네오플,넥슨,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
네이버,네이버,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
네이버랩스,네이버,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
네이버웹툰,네이버,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
네이버클라우드,네이버,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
네이버파이낸셜,네이버,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
넥슨,넥슨,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
넥슨게임즈,넥슨,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
넥슨코리아,넥슨,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
넷마블,넷마블,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
넷마블에프앤지,넷마블,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
농업협동조합중앙회,농협,대기업,공기업·공공기관,KAP_DB,공정거래위원회 2025 공시대상기업집단
농협,농협,대기업,공기업·공공기관,KAP_DB,공정거래위원회 2025 공시대상기업집단
농협경제지주,농협,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
농협식품,농협,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
농협유통,농협,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
뉴코아,이랜드,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
다우기술,다우키움,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
다우키움,다우키움,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
대명소노시즌,소노인터내셔널,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
대방건설,대방건설,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
대한항공,한진,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
동국씨엠,동국제강,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
동국제강,동국제강,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
동국홀딩스,동국제강,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
동원,동원,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
동원F&B,동원,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
동원로엑스,동원,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
동원산업,동원,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
동원시스템즈,동원,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
두나무,두나무,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
두산,두산,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
두산로보틱스,두산,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
두산밥캣,두산,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
두산에너빌리티,두산,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
두산테스나,두산,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
두산퓨얼셀,두산,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
롯데,롯데,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
롯데건설,롯데,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
롯데글로벌로지스,롯데,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
롯데렌탈,롯데,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
롯데마트,롯데,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
롯데물산,롯데,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
롯데백화점,롯데,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
롯데쇼핑,롯데,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
롯데월드,롯데,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
롯데웰푸드,롯데,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
롯데정밀화학,롯데,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
롯데제과,롯데,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
롯데칠성음료,롯데,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
롯데카드,롯데,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
롯데케미칼,롯데,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
롯데하이마트,롯데,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
롯데호텔,롯데,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
미래에셋,미래에셋,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
미래에셋생명,미래에셋,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
미래에셋자산운용,미래에셋,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
미래에셋증권,미래에셋,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
미래에셋캐피탈,미래에셋,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
부산은행,BS,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
부영,부영,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
부영주택,부영,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
빅히트뮤직,하이브,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
빗썸,빗썸,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
빗썸코리아,빗썸,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
삼광글라스,오씨아이,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
삼라마이다스,SM,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
삼성,삼성,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
삼성SDI,삼성,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
삼성SDS,삼성,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
삼성디스플레이,삼성,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
삼성물산,삼성,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
삼성바이오로직스,삼성,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
삼성바이오에피스,삼성,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
삼성생명,삼성,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
삼성엔지니어링,삼성,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
삼성자산운용,삼성,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
삼성전기,삼성,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
삼성전자,삼성,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
삼성중공업,삼성,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
삼성증권,삼성,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
삼성카드,삼성,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
삼성화재,삼성,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
삼천리,삼천리,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
세아,세아,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
세아네트웍스,글로벌세아,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
세아베스틸,세아,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
세아상역,글로벌세아,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
세아제강,세아,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
세아특수강,세아,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
세아홀딩스,세아,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
셀트리온,셀트리온,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
셀트리온헬스케어,셀트리온,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
소노인터내셔널,소노인터내셔널,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
스노우,네이버,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
쌍용C&E,SM,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
쏘스뮤직,하이브,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
씨제이,씨제이,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
아모레G,아모레퍼시픽,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
아모레퍼시픽,아모레퍼시픽,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
아시아나항공,에이치디씨,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
아트라스BX,한국앤컴퍼니그룹,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
애경,애경,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
애경산업,애경,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
애경케미칼,애경,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
어도어,하이브,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
업비트,두나무,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
에뛰드,아모레퍼시픽,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
에스원,삼성,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
에스케이,에스케이,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
에쓰-오일,에쓰-오일,대기업,외국계 기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
에이치디씨,에이치디씨,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
에이치엠엠,에이치엠엠,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
에코비트,태영,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
에코프로,에코프로,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
에코프로HN,에코프로,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
에코프로머티리얼즈,에코프로,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
에코프로비엠,에코프로,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
엘에스,엘에스,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
엘엑스,엘엑스,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
엘지,엘지,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
엠디엠,엠디엠,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
영풍,영풍,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
오씨아이,오씨아이,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
위버스컴퍼니,하이브,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
이노션,현대자동차,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
이니스프리,아모레퍼시픽,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
이랜드,이랜드,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
이랜드리테일,이랜드,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
이랜드월드,이랜드,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
장금상선,장금상선,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
제일기획,삼성,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
중흥건설,중흥건설,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
중흥토건,중흥건설,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
지에스,지에스,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
지투알,엘지,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
진에어,한진,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
카카오,카카오,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
카카오게임즈,카카오,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
카카오모빌리티,카카오,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
카카오뱅크,카카오,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
카카오엔터테인먼트,카카오,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
카카오페이,카카오,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
카카오헬스케어,카카오,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
케이씨씨,케이씨씨,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
케이티,케이티,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
케이티앤지,케이티앤지,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
코리아세븐,롯데,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
코오롱,코오롱,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
코오롱글로벌,코오롱,대기업,일반 사기업,KAP_DB,공정거래위원회 2025 공시대상기업집단
